age,children,dependents,count,income,balance,score,salary
44,1,1,9,39506.184634974205,47858.580540150804,798.2915337974102,70222.40630161493
33,4,1,1,109257.5433100687,44939.75636260191,546.2381294004012,74672.78515290745
28,2,1,1,81209.79538650654,46657.63572793156,353.1749926762434,58786.93934732422
45,3,1,3,108827.45735274763,44568.25695712287,423.0645921746701,60525.497025695004
21,3,2,1,31979.3772930985,19652.61488687925,637.869954822388,52370.01190911578
39,2,0,5,30759.42712090659,34627.56549683159,782.21008277628,55358.01901989256
47,2,2,3,80988.61949447008,8257.06695373306,751.1548143577122,68719.08091555543
26,3,2,4,76039.26940116276,26173.809502679895,388.799410439441,50866.0557248495
27,3,2,5,60090.48047362527,6858.070822890113,348.42841711047055,45622.42021910139
54,0,1,3,64870.0442771633,34780.12422930619,359.08848762936276,49521.10054718628
33,1,1,7,32396.8294063487,7621.944036973919,433.0498135214684,39499.35086803812
36,0,2,3,99708.68223653852,43957.73833804692,523.2783379036757,68723.91209877498
55,0,2,9,67200.17382185084,4451.425322095445,772.4379539045132,66522.50225520815
59,1,0,3,95775.66199499754,19726.89714916904,607.979368716942,69612.3351299045
23,4,1,9,114352.86496103255,48090.87332603504,824.796644401849,92740.20024294339
21,4,0,5,30803.270561357724,37919.803950434165,790.2412108164413,49790.73191011807
25,4,0,4,96407.03762578235,35409.94114034116,837.654082069952,87835.25060296753
23,4,1,7,109193.81103944535,31208.767615416815,441.39434215636356,70783.96252170681
48,2,0,2,107313.864572128,5912.14533162117,610.5645774200748,66783.78170669588
37,0,1,5,112596.06561000017,19659.961451965486,475.53192089208267,59893.910820949946
45,2,0,9,45736.57713071336,34656.67751393117,529.4941331583889,34956.522887577245
53,2,0,3,38178.755025060935,3877.239784445707,476.9393190547378,38391.23441773064
29,1,1,8,30504.76472098567,48755.259339962606,309.5978679882585,30001.556015223283
55,4,2,3,80910.05828647822,48539.75971917682,789.3319622476738,80586.79701918902
33,3,2,3,104342.84679292707,25253.946112149337,745.616405472251,76355.32283837156
50,4,2,3,94597.91989098342,1004.8766115869191,621.4569005120801,74220.35068413158
34,0,2,6,98088.6073574294,16351.789942496855,601.1075757288941,64416.2999883841
27,2,1,7,55062.25217327598,2189.920910418182,332.7284168404176,37891.245737687466
33,0,0,7,110958.34309342428,3297.526477723193,577.703771442171,65076.21727105136
42,2,1,1,106427.16098798825,29267.785622804295,469.3531926801494,71718.70152606252
59,2,1,8,37034.55611138282,22577.903890017587,301.8023569475336,38052.93025854926
40,2,1,6,106727.79997838526,48327.31752147771,504.27228199882194,67253.86103187455
35,3,0,7,104139.67554261975,47745.06815630679,547.0340080066737,70090.36657814006
37,4,2,5,74171.2206538702,15151.527643800679,532.807471572537,57471.90628993959
43,2,1,7,92255.29470388342,9238.945798798997,413.8038312881837,51383.29431246997
45,1,1,1,46922.13875127492,6657.899341674776,569.9787150116173,44193.0941032692
44,2,0,1,106150.09150875699,22262.953238637205,720.2651868359545,80715.02735860563
48,4,0,8,103823.20288143438,39928.91404725286,737.2179712590195,76062.50884844697
34,4,1,6,110567.1532098455,3726.2413226182894,575.6203439304666,66499.92865656957
20,3,0,2,32085.350767123506,39318.29681734331,309.0212477690612,42067.2853281969
44,2,1,6,105752.48808187955,30375.16012625439,832.9708933445388,79388.51547291935
26,1,1,4,39568.786852488316,38027.22851384345,362.9753336993772,38424.86835910934
28,3,1,3,50625.54113892271,42499.45440045557,368.42635758713027,42647.529241397126
43,3,0,9,34172.7695220671,14946.282216951078,753.7887836243316,46356.7664281553
20,2,2,4,42135.68063950169,41946.70177208581,633.7929955012936,47413.420682115146
27,2,1,6,85296.54457118642,36209.77242024714,529.7909900729168,58362.06267580382
43,3,1,3,45108.63010496745,21287.16032455728,758.2913590559242,55015.06182863073
30,3,1,6,104234.50974011532,14357.077684945101,576.6486169240147,67529.9611739798
36,3,1,8,58761.19846904596,31339.223854497362,573.8555764548282,46776.198404223236
27,0,1,2,70939.0690167422,30056.221601677786,752.169584872482,65659.3915592698
54,3,2,6,107031.1176584015,30894.200782464966,550.4306124157733,73168.89896553563
54,4,1,6,66093.65582831445,15782.799155672617,382.41396148606293,44638.44303302527
52,1,0,5,77549.46864831372,2370.09479203695,560.1962447251076,61202.947664929656
24,1,2,9,32898.52480256501,2443.913007372994,427.4905369085337,25884.576324952464
58,2,1,5,62805.54167482639,10840.800471659973,316.98000993540387,43665.06350568312
47,3,2,8,63553.34777392394,38122.69908629628,659.9576984943828,61142.73705128408
26,1,1,3,103914.50593307106,32283.718675567838,429.84671035335094,64385.87262780981
28,1,2,2,38952.390195251384,41076.01846601323,538.2712404471815,43147.04484572221
27,4,1,9,40942.28913081084,3696.886292697826,619.5456345726705,46953.11791369845
31,4,0,3,95190.83511907917,5366.307327649677,508.48743678095644,61521.240859453246
53,0,1,8,97719.26077385883,10783.800066058915,535.8300525231546,60417.526407851605
52,0,2,2,77042.05673594505,24976.767777327317,336.2489254823166,47318.145946666125
42,1,0,6,61206.67661590126,39320.93511822225,761.4398259198085,60050.79984053713
43,2,2,2,82515.87510720026,28516.07675314429,778.6503097602409,65820.850329783
56,1,2,4,93282.12615469727,26621.000565000955,654.3757612733966,67293.79969563607
54,2,1,4,42598.67550466949,10873.367124536078,383.02189960147007,38687.43325127463
59,1,0,8,72624.66867440494,4252.153926610572,526.2268110276268,47220.33062130363
41,4,1,5,95877.46214609327,19288.278629479253,634.1076587370142,66587.67174480787
46,3,2,9,53551.71756925269,4328.457784865563,742.6980661540977,57616.59428075111
54,1,0,3,76520.29505055865,21941.174920981968,340.8848975533647,52001.758020517795
20,0,1,4,67360.66078245685,8288.771853679887,643.6817783514155,56325.7733663696
54,2,2,1,39407.17155569833,18494.492733436804,345.88008444303716,37748.489237907634
56,2,0,9,101620.14258948955,35367.96024108075,634.1502210074525,70762.21070000969
33,1,1,8,38417.49870031404,34585.07788436806,301.93459615008294,37744.37498423821
22,2,0,7,79162.0711774526,31464.35172801008,790.2942544889735,64777.07201820337
20,0,0,5,33368.255078940216,39727.50593746351,435.08849000116345,32190.721977710626
24,4,1,8,57121.03429304595,49515.16771567989,556.1285280016411,60969.314537155165
45,3,2,2,30282.289358030386,22708.767834964547,572.8046867566745,45460.16252599482
33,3,1,3,116247.5990693279,17504.819321452567,757.7399252873441,86313.48835735593
58,2,1,5,59953.90462355612,29586.11749255368,680.0276290918453,63917.53200959507
46,1,0,9,117822.94838172298,37744.059104882115,613.5356129213453,66017.44967684665
28,2,1,3,73192.42004655475,17531.344091329756,776.1632530267262,71412.26912076907
34,0,0,6,111661.0590427537,8596.17181995172,433.03353065140146,54830.37423686089
34,1,2,1,46884.863036386894,43093.80705546153,626.7530968352924,60483.91752605187
45,4,0,7,34151.113794666824,31444.257753443108,650.0443617947005,50121.070458862334
32,0,1,5,46023.34783440242,2359.004511412785,660.8270554926116,49821.78236986304
51,4,1,2,84436.22240356205,46751.80672819573,777.5868010003544,71613.060434067
58,1,1,3,116802.02811758961,24844.81717946738,606.8104940742534,64144.93513557943
51,4,2,2,33636.5140412067,34222.58185034619,568.7186381817914,50007.36163639576
23,0,1,2,88811.77400299167,20033.681487045487,550.467343466016,63287.102803391776
49,0,1,8,39307.423183771425,45979.67363968295,453.5146816415961,36356.92278941704
56,2,0,4,78498.51329579286,44514.864939812054,743.9781699008691,69777.13598638136
42,1,1,1,88520.50433811464,31391.622239795674,580.0213959064854,61967.87278183271
58,3,0,6,80312.10958044059,37872.034816871834,335.02317344273695,53568.25056785249
34,3,2,8,79192.9394766479,11608.914133180177,619.9978047383543,55109.2265364742
48,4,1,5,104136.07022798904,30509.22892813413,311.3991069896186,58023.16319645601
55,3,2,2,70412.10978387546,12660.445488121437,365.3659642914363,41904.17346879973
32,3,1,5,35462.59898340197,25777.29862895508,658.2581636242243,58650.925904013
51,0,1,6,76096.05882630183,32504.54084792173,521.2850280725331,60362.8286390233
26,0,1,1,74926.82281707446,18081.388260446347,418.7269971350605,54471.96841607192
41,0,0,3,104642.77445102342,16871.662852414258,340.62606861958875,63704.39934350613
47,3,0,2,114798.05455125435,18801.87026815325,597.2242825485255,77512.48904020137
21,4,0,1,112439.08856881365,27889.815007180943,643.6110410709948,82734.62202404698
25,1,1,6,107542.53651831581,8846.94917579843,730.3902711951164,76881.04089761637
47,2,1,4,68552.44654456247,43718.70987825162,470.79742768534175,56863.01520434295
47,4,1,6,48216.59524333286,7756.792177882195,407.0405143664208,37840.52489318765
39,0,0,4,45645.477329760564,48703.3256547664,699.1034971642196,50973.55332006913
49,4,0,4,99623.03032948109,49861.14212729029,693.9035062467012,75784.03603883495
30,1,2,4,115749.58941738422,18385.723723139745,730.5802846820906,76603.35840554423
47,0,0,7,98259.86776312948,32116.897258639256,519.2272142992788,66781.72128122978
44,1,2,8,101327.42133086355,3688.7643994648947,644.5566484758926,63929.323059806986
58,2,2,5,116804.48855978227,26606.582853113614,382.6587975799781,58881.708804080496
52,4,0,1,114206.9195692881,26679.13758206704,422.12305405747577,69399.15843840143
20,2,1,6,40597.686681907486,16129.341462957518,443.9065641725721,30189.38071717706
46,3,0,1,107915.72935590277,1704.512423222333,816.0221689100689,71572.43644214857
32,4,2,3,111215.50032933378,5874.713548300738,628.8643633821097,78322.8487076286
22,3,1,6,39518.30583878058,26517.447620584662,525.1708907776865,44034.525639336054
58,1,0,4,109571.7294914179,21882.860781001873,684.7408920299833,77408.11389945075
25,3,1,2,93337.53230778244,41304.15352998736,347.8965511261482,52753.987507664795
27,1,2,8,94780.68940243953,45402.47095485391,649.2774026906689,73465.30800507002
46,2,0,6,116706.17710099342,33979.87011949008,486.284707399797,74642.12713826168
28,0,1,3,64126.961665976516,27599.191961158984,641.4865360845555,48380.939406278165
56,2,2,8,97246.74908882553,41531.72131849552,354.798086274321,60486.24601374068
52,3,0,2,95849.26876946946,13355.633717135883,302.0415429275502,50467.512584911026
43,1,0,8,98885.78604413771,40735.13790968333,753.472263715056,73300.56818090777
34,3,1,9,76059.54797769152,20335.64600030606,666.8897260531223,55244.77848229009
51,0,1,6,77331.56809531228,6543.834743508295,363.9202215707738,39509.97070665624
51,4,1,8,107852.52179944642,38730.24201720399,352.39784266095455,71452.05966625144
43,4,0,8,49569.624339397335,13767.755336078808,696.3066160302883,64053.147396354616
31,4,1,8,85551.42087108828,25181.34561882905,616.4391321692071,62031.805699898665
58,3,1,1,76346.67210053172,31520.420675973503,443.5513416771356,56214.87794327186
21,4,1,2,67328.33697874911,36860.65847795048,704.5518091641144,69336.62524701838
22,1,0,2,110126.97569328708,25170.71330813808,515.6611730000818,67097.9060016973
56,0,0,8,34170.28301385739,23727.006094914115,644.5125685911062,51979.55357141553
36,2,2,4,62140.860483568984,29157.02561525652,505.64686803774566,52588.07054170036
21,1,0,3,95563.40468970775,43436.00161225919,751.6393125328218,74189.17987381658
21,0,0,9,70736.1601296773,47651.7089259028,845.6813449535537,78696.72234849283
47,2,1,5,100988.66787635337,32555.790731101395,641.798173096687,69032.98922236027
42,4,1,2,74403.39082393996,12688.391187438434,654.1754870706775,62620.35915251075
56,2,0,2,43391.75558414126,42608.22999496744,456.5477226677275,47960.80012377035
51,3,0,5,87347.13053282879,26434.860647798032,623.2123177492932,66334.44789807679
52,3,1,1,60156.21596999167,49668.9354810527,374.3529748425989,58547.23952874041
20,4,1,8,44404.85713552156,10855.690774890494,734.1324780965285,62401.55607913299
38,4,1,5,85234.6757793518,9899.541021404842,749.1331148049745,67925.65832001982
21,1,2,6,106092.94366849243,49621.50707869977,809.1836851753887,86723.15430657161
45,1,1,7,69135.7195856536,44010.65144254188,422.6651296164474,48244.09911200951
51,3,2,7,57138.90240113555,49922.371116265174,425.88337824471813,58973.31417676318
25,0,0,7,116080.5679191668,25364.5092936615,792.9174763689894,92818.70739083904
51,1,1,9,92146.24238842656,46881.134257023696,642.6212429453001,64181.52814823047
23,0,2,9,64303.515257133164,44630.292764972124,331.10858800080365,50290.37791300851
30,3,1,6,56949.00602339777,34940.330160232035,510.29393662836344,58843.69793413268
36,1,1,5,42671.78521778328,2584.526127832515,367.9268357573366,35121.240721299284
57,0,0,8,71763.67899473396,39377.54489168794,448.1208991043534,56925.59661205699
43,0,2,5,60200.05011797784,27605.42059418275,329.221534216191,40867.463543143676
24,1,2,3,119595.07989337727,6309.801563673513,514.3311933551881,76523.48530242461
53,4,1,4,67456.77500716,18811.88900469543,507.19036616197764,47708.510433071235
25,2,0,9,45148.508203242476,4627.701450849123,516.9719074923662,38606.74417812925
41,4,0,3,55335.08617536641,12322.904498169846,801.5993376672913,60057.017991227
30,2,0,5,30444.527230594445,37507.84797070055,690.869104409055,53958.53917781734
35,0,1,9,80348.30333141221,5462.303038000016,788.5514227498584,65584.46664214067
52,1,0,4,110160.77124371906,23969.62020912154,503.8546900854441,62325.46321589711
28,3,0,4,83313.01686002727,10956.604796474956,736.3619019813973,69703.38821978055
25,1,0,1,37608.490784322574,2599.9020141074825,456.20554677224777,31333.90379615959
35,4,2,2,99758.93353073772,39599.434707846296,519.2712801750695,76374.65253042227
48,2,0,1,45267.072006514536,20907.295882305203,706.8666827624959,48705.81162804213
22,1,0,3,54644.008505744176,5679.589289102126,822.7989360659901,52020.105317330694
39,2,1,2,48195.33017059222,11955.708310855718,397.5663194288485,34172.09083153841
55,4,2,4,115053.84289134093,22629.92074524442,672.9363228656227,75702.15255919257
38,4,0,3,75301.49416139947,19192.832305243417,734.8604463073159,82413.75505503893
45,1,0,3,96227.80808377657,37988.55764750177,602.965129503165,64829.72011016601
22,3,2,8,102092.24007168104,15617.903730190917,388.7547085703898,59044.46494165756
38,3,2,3,77235.8200761567,11445.096146634954,468.9685811744125,52235.923833142915
39,2,0,5,89507.10791518903,23272.05193829369,349.6471160601648,51864.33342968269
51,1,2,8,55782.37644059541,1539.743673293835,791.1111861601289,58806.68441143516
26,0,0,5,117930.09936600694,46009.209287894744,478.6579808181792,67538.65765289757
52,4,2,7,44823.82259613024,36918.73430003153,723.100628637946,60095.126597044444
59,2,0,5,35879.33234020506,22940.675402215256,372.9210186775938,37368.41550293754
58,4,2,8,60581.266656733875,43553.2407636783,490.63048400385514,49477.18058992712
37,2,0,5,115930.29916476554,5558.679560104831,844.9783556434007,74611.72639595938
59,1,2,2,73193.854775809,8223.53999521599,809.6586313257667,58481.39886894183
20,2,2,9,36292.095797435584,26718.68438203836,355.84017610525143,39254.96972539547
30,2,0,6,91990.91305619362,4674.389354249115,598.382449238615,62504.81961528561
47,0,1,4,119074.75976817393,13325.63459528665,481.4709971638675,62694.18577320557
44,2,2,5,30444.304604384266,40051.38898794426,640.2914577884337,52074.0105703837
42,3,0,8,72878.66011273484,44312.00002257567,769.2340472700482,68137.10249473972
50,2,1,3,101533.11283774611,37390.498414581125,516.2604321922263,65824.55554128431
49,2,1,3,70555.09360180164,10039.560287003687,743.8176881456225,65683.12796503956
54,1,0,7,60690.08282113584,31232.630283679173,695.765506217552,60759.079391815445
26,2,2,1,48495.24182646522,30615.530023098392,425.8110936898777,43011.218409748064
35,0,0,9,42039.15168323005,27473.365799097577,461.43691540989585,45498.060185397146
45,1,2,9,38878.545233485755,5649.300629175181,794.8337330800208,50306.82199841052
21,4,1,2,99721.28009862121,12452.954174691817,795.6677268345268,80953.46850673007
20,3,2,4,58145.33668699364,18934.744259484247,837.0279006394503,62327.23526781824
31,3,0,9,70940.24103638221,40921.066938281634,770.4989283115656,61676.42512939302
24,4,0,4,106194.95407142062,19253.007660529413,843.5142454414832,92866.40714596875
56,2,1,8,65803.89540736083,2123.1453974943815,661.1185883390693,58361.59907189469
51,0,0,3,36693.854407467676,8066.44557219469,509.1605689209524,44861.347376438076
28,0,2,4,67618.13454198357,30746.83596073912,453.5279065079411,43364.16663755181
54,0,0,1,81487.3311951317,6845.576120679706,392.0152490844945,43599.56985764328
38,0,0,4,31326.960182385024,26022.568865926056,509.1724047400174,40367.51300416964
35,2,0,6,82306.17163143362,43023.882932389206,618.7122532140722,62253.39135362475
22,4,2,7,43476.704543345506,41287.26262482036,414.23297355713805,47488.47036355851
39,4,2,6,39912.877583062356,21742.59574624313,514.891001037728,40553.671931323275
43,3,1,4,93776.13012855037,2700.6369354252556,821.8713809389817,78839.02124867345
52,4,2,8,43271.781192609604,14599.84899553597,595.3764038595093,61724.29533595408
43,0,0,7,38996.03902933148,34862.974203837264,845.1603611917009,62999.87300407554
30,2,0,1,70747.13177776182,9460.330389552479,728.461054106137,66706.73024923512
27,1,2,1,66786.45943787697,37810.72294386865,360.75618689652197,47707.42537280199
55,1,2,9,88796.20193935285,3131.7655155696466,623.9681745849541,39984.96011890443
57,0,1,9,115478.08793543755,1078.0664042405895,314.40265841816813,48824.950153788
59,3,2,9,38437.838092650214,24232.20821843517,671.8035075816179,48255.98479095618
39,1,1,8,114439.12078673812,46810.55306144803,460.56534430821273,71701.42856729681
54,0,1,9,96472.61329097557,23323.94179358749,376.4982956098455,49373.96019513319
44,2,2,1,54738.18376315694,3241.2090875469876,698.4568186671426,55395.76572338553
54,1,1,2,110453.26075059875,7955.616527435111,581.5955436890792,58646.77655485586
44,0,1,9,34342.41191537389,36689.14517094771,755.4667333586847,56400.14620331462
48,1,0,4,118510.68762932821,2847.329162621554,476.9498974538276,69606.81941337782
37,2,0,5,99970.39842061367,31754.355903177395,790.6005820602702,80312.50189428392
37,4,0,1,59673.116538927556,47801.416620817385,786.2798149577764,74050.53348117125
21,4,2,2,91638.68874066722,43096.62276254388,447.4963977054558,65008.24440478904
54,2,0,2,117620.80367855578,28127.867960118096,533.1186698105353,81284.26521538892
35,2,1,5,61103.148810006314,9003.438950075011,604.5997587835232,59188.85703896586
55,4,0,5,69887.96792417782,22944.335009448034,732.1426927000382,65857.38772662742
52,2,0,9,105887.75817056843,26669.616474549843,649.4089366799205,69128.87959833519
23,2,2,5,70433.41114214496,37161.2556625731,772.0301576639779,70727.23482456779
52,2,2,8,40965.11727365867,44561.404265515695,669.5145883767865,61667.70484843159
33,4,2,8,88527.50117531905,36838.2555328897,729.3167695213971,76483.7429137261
40,4,2,3,61208.34399343058,16316.328308606573,812.9124371607437,65759.089331434
39,1,0,3,114837.88503458218,33163.52861326397,737.0684393297911,77498.49649800613
27,4,1,3,39609.03545507943,45049.79605511584,436.62239930952387,45766.75071337187
26,1,1,5,74373.54097860563,45822.78921267093,749.3252796066599,73810.1465660827
22,4,0,1,96599.48447947761,22916.341950640006,801.1853715048821,86121.286474414
36,3,1,8,110634.87465343009,46266.86930855339,682.7545024495896,77158.14704163531
52,1,1,5,97440.9345029165,36223.98973197224,467.2942506053539,59070.16801506589
31,2,0,4,114196.72527447385,23178.689551555002,849.8800161615881,79546.92509451919
41,3,2,3,97351.22115327256,15875.68193693768,364.87041334962146,53851.9418892834
41,4,0,1,57133.497199353915,44666.87204426556,706.3643620037057,63415.105183895364
49,4,2,9,105456.25455019755,44453.159315009216,703.9985528777202,86601.72980878635
57,3,1,9,78652.63214733217,13595.786214940214,306.3397888579866,49389.40828518412
57,0,2,2,93764.91658194247,8122.301019825062,808.1060451717921,61912.6529548186
27,2,2,5,56523.1869321708,30681.02062140691,631.7557501797719,59396.66636623816
46,1,1,2,118358.3610416016,31087.231301890413,551.277030897932,65968.73400490002
46,3,2,8,85263.36758914133,8496.47217006229,798.646764495691,65599.28723774836
53,1,1,1,107348.3016544578,41399.020576569055,814.7140611961165,72465.31159505653
40,4,1,9,112342.51232744152,27988.170894875053,560.927528481451,76452.16139571228
49,0,0,5,77658.84698578864,37235.312902098725,492.50147085986674,48040.13232782245
52,0,0,7,98352.04528227585,49028.08717496381,349.7892612866342,57053.335468345336
47,1,0,3,113622.92804536287,25177.25024204114,732.9862937177966,86187.8163847341
52,4,1,6,53094.44913863919,36591.153694426146,830.9797061881095,71275.22000413045
24,0,2,9,57658.0965623605,31917.88295933462,572.305248074448,55416.679218891026
38,2,2,9,107063.33924278995,20100.954467599073,402.0212192877929,57015.16243593619
23,4,0,1,59039.35058395362,24280.808583674323,838.4114574465785,70738.96185889715
54,3,0,2,51119.89612491408,24187.727680523494,414.0689387410331,46443.84522828923
36,3,0,5,34625.474683683766,4807.6460058192015,443.1371409937082,34697.994621927835
47,3,1,5,65183.13971651925,25345.684060794272,622.5157750751545,59676.73632242984
49,2,1,8,108958.79170496747,44408.43746380494,453.6153049453285,67103.92856049114
48,4,0,5,54025.572143309386,43627.70098752127,413.0882103202064,49130.27646933007
25,1,1,6,119177.12481033946,1972.2291540453725,675.028970618221,72988.42308753091
54,1,0,1,32529.85624524235,30549.07558705414,803.204658285528,59290.106617191916
56,4,2,6,51101.27168379603,7321.624325054178,697.1175486919783,60717.78241870162
43,2,1,4,81779.77515012381,44575.76504213723,611.4344209040501,58775.75746388443
48,4,1,1,101625.59906886591,8012.153466105346,473.557585647927,53131.062465779265
50,1,1,4,78615.11049348896,48599.86654027771,616.331921619257,69735.64874104799
54,4,1,1,35404.78654970086,46776.29962102733,327.8032572839816,45039.43375017051
52,3,2,8,65937.89317365334,18991.74420836186,330.5776737486029,38156.44205907996
40,4,2,9,107492.98828765702,6849.622855173074,426.86310380482246,53204.14399940901
51,0,1,6,38004.78200268958,7356.941384756429,460.3635446716902,36307.95391336219
42,4,2,5,76363.0629813973,47164.63899549701,407.00925644137726,62837.51130086533
52,1,0,9,88101.35194963112,37364.66585540918,377.14857006760053,55049.042642704866
22,1,2,5,119629.37470279173,43378.879405521744,839.0802662689764,91507.45188203867
37,1,0,5,49499.459786137595,5597.908693568682,637.4590183850313,52469.95287563406
44,3,1,1,114938.96920004631,47748.8758722398,463.7054189648717,86172.86273830378
50,1,0,7,71392.19438215064,28953.225388164446,736.9970219700024,62328.98561521433
22,0,0,1,35122.51735775206,38992.0161052721,422.314783755135,39278.319734921715
59,4,2,3,106742.16737379534,38594.67304926591,652.7907653810036,76465.48393968417
43,2,1,3,38069.03499012477,46488.76048634487,406.617264471246,43739.28635723692
51,1,2,2,38716.21340531364,8149.847880716438,643.7781871081268,50089.330630334975
41,4,2,6,30319.70666070818,46085.414791063784,533.3482950577387,38059.18686494912
42,3,1,3,65675.94103329,44369.93073526242,464.05027516820184,61223.27840658518
21,4,1,7,48511.067468259556,34716.444862347154,751.7268069509041,57651.51616961494
46,1,2,4,44604.13148157452,20252.89504998627,539.6782020551764,45485.41449723442
21,1,2,3,107338.55753256538,22808.61328775544,596.9285747413692,74850.96734241064
45,1,0,3,73281.24488825425,5554.114964722128,776.7752838303296,54037.37315599721
36,0,0,4,70499.3611211546,38018.365678405404,323.99558709986195,42606.34458615704
59,4,2,4,102286.86950068176,22276.581162256956,382.30980350816105,53353.83081636977
52,2,2,7,68360.85739777076,21155.793525179033,477.0329954437215,50458.24905562785
28,0,2,7,42037.31348385189,20207.30619613777,393.7066245073128,41515.49733779295
58,2,2,8,39205.141356988344,11205.424003444143,519.4801589958757,49888.069031063926
48,1,2,4,59965.62627738304,43967.50424092296,723.7859855904412,65297.152784207006
45,2,1,1,96215.08826587914,37621.30026929899,680.0225281579416,86380.75715872327
54,2,2,3,84187.16248187964,32361.65067740076,628.8145105884088,66428.81355039583
44,0,2,1,108628.64062357713,47847.28717468212,642.8033262734182,79650.64105863053
43,0,0,8,43837.06172926676,40740.49946594322,358.7742684072212,37640.89342218545
32,4,1,9,73115.5308011832,15273.90060731555,721.491198596367,62790.51078444482
26,2,0,2,104738.86520055434,39272.02931757014,717.0499383331576,71327.13844930493
55,0,2,2,95294.83092036928,27638.530908535824,730.4012112489802,69315.65353885165
39,4,2,8,55751.15780073939,18614.271764463836,762.6881198256619,60451.787816218326
20,2,2,6,54607.662019760246,30366.235338782837,570.57553148312,53041.987928932336
27,2,2,2,66915.53208115374,36394.24506164291,791.0058520280362,65075.49972302199
35,1,2,5,31667.783251953457,40229.8970634649,802.2267686338607,47122.91211133279
33,0,1,6,44399.80386396382,45102.10466360646,522.5951619097405,43701.423680397354
31,3,1,6,62811.71191733602,6798.178657883317,597.749222640483,57959.61556731904
42,0,1,7,95396.96789401642,32474.1734620439,679.7005082985538,71154.6057106916
34,1,1,4,86823.43642405616,42907.39760247262,698.3964271968607,76251.99181622677
47,4,1,3,119419.66818760782,37212.328299847046,470.33974543529223,69582.95168465427
53,0,0,3,60861.445275556245,19250.553431660825,411.7735077497256,30408.61136988714
21,2,0,4,107056.62818214137,1252.9612417676262,682.1416111783678,63941.52671611045
51,3,1,1,61119.09802699801,45295.10219826324,673.0609825164355,68553.04127729684
42,4,2,1,52730.6687086024,26998.61985122051,328.33242864497527,38179.281192351584
41,0,2,7,74550.44804691538,19067.37925796937,750.3704619970854,66213.21799289991
44,4,2,2,73744.33252698075,40693.972898455424,720.2913867385823,73256.45827692306
